study_tags,run_case_id,study_notes,case_order,solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,3,10,device,0.004212021,0.004209798,0.003110919,2.1222e-05,2.5488e-05,1.9399e-05,1.1547e-05,9.92499999999e-06,1.3831e-05,9.61399999999e-06,0.000998268,0.004116359,3.8748e-05,6.016e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,4,10,device,0.004211551,0.004210524,0.003104559,2.0752e-05,1.7416e-05,1.9449e-05,1.1467e-05,9.50499999999e-06,2.3255e-05,9.56399999999e-06,0.000998939,0.004113624,3.9869e-05,5.927e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,5,10,device,0.004209687,0.00420517,0.003106622,2.1192e-05,1.7967e-05,1.9559e-05,1.1427e-05,9.77399999999e-06,1.5543e-05,9.594e-06,0.001000662,0.004117018,3.351e-05,6.0119e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,6,10,device,0.004207845,0.004205396,0.003102526,2.1562e-05,1.8979e-05,1.9229e-05,1.1387e-05,9.95500000001e-06,1.97e-05,9.68499999998e-06,0.000998769,0.004112682,3.8368e-05,6.0431e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,7,10,device,0.00421122,0.004210529,0.003102556,2.1362e-05,2.2724e-05,1.977e-05,1.1287e-05,9.99500000001e-06,1.7616e-05,9.74500000001e-06,0.000998759,0.004112051,4.034e-05,6.0872e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,8,10,device,0.004207624,0.0042037435,0.003103587,2.1613e-05,1.7867e-05,1.9389e-05,1.1447e-05,1.0105e-05,1.7446e-05,9.535e-06,0.001001122,0.004113502,3.4231e-05,6.0642e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;nrow_sensitivity;mpi_mode_device_reference","np2_128x128x4096_device","2 GPU central baseline",5,tdma,cuda-cxx,2,128,128,4096,16384,2048,2048,9,10,device,0.004204619,0.004204149,0.003100713,2.1231e-05,1.9379e-05,1.9089e-05,1.1307e-05,9.72399999999e-06,1.8678e-05,9.71399999999e-06,0.000998138,0.004110158,3.8057e-05,5.9758e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,0,10,device,0.04897176,0.048969412,0.006298873,3.1898e-05,0.039328269,4.5218e-05,2.9374e-05,1.0116e-05,0.001471748,1.2429e-05,0.001956776,0.008275458,0.040597002,9.9661e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,1,10,device,0.008298304,0.0082942925,0.006105533,2.3275e-05,0.000163706,2.0461e-05,1.328e-05,1.0185e-05,1.6194e-05,9.74499999998e-06,0.001941534,0.008054567,0.00017957,6.3666e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,2,10,device,0.008155128,0.008151693,0.006100995,2.1743e-05,2.5979e-05,1.9981e-05,1.1418e-05,9.56399999999e-06,1.7476e-05,9.66399999999e-06,0.00194553,0.008057943,4.3455e-05,6.0952e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,3,10,device,0.008169489,0.008164993,0.006108466,2.1392e-05,4.9323e-05,1.9899e-05,1.1608e-05,9.704e-06,1.325e-05,9.56499999999e-06,0.001942124,0.008053215,6.2532e-05,6.056e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,4,10,device,0.008170651,0.008167802,0.006113665,2.1342e-05,2.8242e-05,1.9869e-05,1.1608e-05,9.47400000001e-06,2.5959e-05,9.68399999998e-06,0.001942976,0.008068249,5.4201e-05,6.0369e-05
"correctness;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nrow_sensitivity","np2_128x128x8192_device","long nrow at 2 GPUs",6,tdma,cuda-cxx,2,128,128,8192,16384,4096,4096,5,10,device,0.008147937,0.008145233,0.00609729,2.0891e-05,1.8829e-05,1.956e-05,1.1587e-05,9.68499999998e-06,2.006e-05,9.535e-06,0.001944027,0.008052904,3.7937e-05,5.9671e-05
