solver,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,tdma_threads,reduced_threads,total_s_max,total_s_avg,compute_s_max,compute_s_avg,comm_s_max,comm_s_avg,pack_s_max,pack_s_avg,local_compute_s_max,local_compute_s_avg,reduced_compute_s_max,reduced_compute_s_avg,update_compute_s_max,update_compute_s_avg,mpi_forward_s_max,mpi_forward_s_avg,mpi_backward_s_max,mpi_backward_s_avg
tdma,2,128,128,4096,16384,2048,2048,3,10,host,128,128,0.004410739,0.0044084505,0.004114064,0.004112276,0.000237706,0.000233826,6.2265e-05,6.20535e-05,0.003106562,0.0031021855,1.1477e-05,1.1292e-05,0.001001202,0.0009987985,0.000154391,0.0001503155,8.3706e-05,8.35105e-05
tdma,2,128,128,4096,16384,2048,2048,4,10,host,128,128,0.004408846,0.004406277,0.00411839,0.0041137235,0.000234883,0.000231948,6.1163e-05,6.03005e-05,0.003105711,0.003103758,1.1497e-05,1.1237e-05,0.001001182,0.0009987285,0.000148914,0.000147146,8.5969e-05,8.4802e-05
tdma,2,128,128,4096,16384,2048,2048,5,10,host,128,128,0.004398441,0.0043954665,0.004108416,0.00410782,0.000229726,0.000227252,6.1241e-05,6.012e-05,0.003103888,0.003099522,1.1677e-05,1.12465e-05,0.001000391,0.0009970515,0.000152229,0.0001472015,8.2604e-05,8.00505e-05
tdma,2,128,128,4096,16384,2048,2048,6,10,host,128,128,0.004409287,0.004405216,0.004113944,0.0041098875,0.000235272,0.0002342765,6.1812e-05,6.07715e-05,0.003102356,0.0031019355,1.1607e-05,1.13615e-05,0.001000822,0.0009965905,0.000154142,0.0001535605,8.2293e-05,8.0716e-05
tdma,2,128,128,4096,16384,2048,2048,7,10,host,128,128,0.004408436,0.004405241,0.004112051,0.00411172,0.000234322,0.0002327545,6.1803e-05,6.0492e-05,0.003104679,0.0031015845,1.1607e-05,1.12815e-05,0.001001954,0.000998854,0.000154171,0.000151537,8.2284e-05,8.12175e-05
tdma,2,128,128,4096,16384,2048,2048,8,10,host,128,128,0.004407945,0.0044041745,0.00411185,0.0041086405,0.000235653,0.000234762,6.1994e-05,6.0492e-05,0.003099712,0.0030988705,1.1627e-05,1.1507e-05,0.001002194,0.000998263,0.000155423,0.0001544915,8.2093e-05,8.02705e-05
tdma,2,128,128,4096,16384,2048,2048,9,10,host,128,128,0.004402918,0.0044012005,0.004117789,0.004112892,0.000230665,0.00022683,6.1883e-05,6.1187e-05,0.003106341,0.0031036425,1.1708e-05,1.1332e-05,0.00099974,0.0009979175,0.000147911,0.000146144,8.2754e-05,8.0686e-05
tdma,4,64,64,2048,4096,512,512,0,10,host,128,128,0.085037769,0.08499476975,0.001024477,0.00098015825,0.083904779,0.0838788745,0.000137316,0.00013230575,0.000820351,0.000787439,2.9564e-05,2.9269e-05,0.000174562,0.00016345025,0.076176862,0.07031009675,0.019412292,0.01356877775
tdma,4,64,64,2048,4096,512,512,1,10,host,128,128,0.013378067,0.013344837,0.000796095,0.00077642025,0.012517114,0.012474861,9.5043e-05,9.32519999999e-05,0.000621112,0.00061680825,1.40609999999e-05,1.358775e-05,0.000160922,0.00014602425,8.7711e-05,8.4276e-05,0.012429403,0.012390585
tdma,4,64,64,2048,4096,512,512,2,10,host,128,128,0.001056877,0.00103677625,0.000795114,0.00077483575,0.000176325,0.00016919425,9.3771e-05,9.245625e-05,0.000619801,0.0006153515,1.3911e-05,1.34e-05,0.000161402,0.00014608425,8.3766e-05,7.7424e-05,9.5624e-05,9.177025e-05
tdma,4,64,64,2048,4096,512,512,3,10,host,128,128,0.001020652,0.00100163575,0.00079253,0.0007778805,0.000136976,0.000131625,9.34300000001e-05,9.18505e-05,0.000625068,0.0006189465,1.3821e-05,1.323525e-05,0.000162103,0.00014569875,8.1882e-05,7.838975e-05,5.6175e-05,5.323525e-05
tdma,4,64,64,2048,4096,512,512,4,10,host,128,128,0.001027342,0.001008661,0.000795515,0.00077394925,0.000144466,0.000143017,9.33299999999e-05,9.140425e-05,0.00061924,0.00061445475,1.3791e-05,1.321225e-05,0.000162484,0.00014628225,8.4246e-05,8.210325e-05,6.2364e-05,6.091375e-05
tdma,4,64,64,2048,4096,512,512,5,10,host,128,128,0.001021003,0.0010049135,0.000788973,0.0007775145,0.000139409,0.0001351025,9.35209999998e-05,9.20314999999e-05,0.000622104,0.000618278,1.3971e-05,1.345775e-05,0.00016004,0.00014577875,8.3295e-05,7.719825e-05,6.4036e-05,5.790425e-05
tdma,4,64,64,2048,4096,512,512,6,10,host,128,128,0.001021292,0.0010014075,0.000795003,0.00077561925,0.000137757,0.00013412125,9.2859e-05,9.13945e-05,0.000622153,0.00061654,1.42120000001e-05,1.34555e-05,0.000162544,0.00014562375,8.3105e-05,8.00775e-05,5.7006e-05,5.404375e-05
tdma,4,64,64,2048,4096,512,512,7,10,host,128,128,0.001023005,0.0010052085,0.000790756,0.00077485775,0.000141583,0.00013860825,9.2518e-05,9.146925e-05,0.00061996,0.00061510275,1.367e-05,1.316475e-05,0.000162444,0.00014659025,8.6841e-05,8.4114e-05,5.7076e-05,5.449425e-05
tdma,4,64,64,2048,4096,512,512,8,10,host,128,128,0.001025589,0.00100801275,0.000795333,0.00077493,0.000145107,0.0001410285,9.34910000001e-05,9.17585e-05,0.000621112,0.0006161645,1.362e-05,1.30895e-05,0.000160601,0.000145676,8.88729999999e-05,8.641675e-05,5.6705e-05,5.461175e-05
tdma,4,64,64,2048,4096,512,512,9,10,host,128,128,0.001570798,0.00114941975,0.000797706,0.000776924,0.000139219,0.000134394,0.000666539,0.00023766125,0.000622324,0.000617024,1.383e-05,1.324e-05,0.000162934,0.00014666,8.1623e-05,7.9419e-05,5.7596e-05,5.4975e-05
tdma,4,128,128,2048,16384,512,512,0,10,host,128,128,0.069129415,0.06908033375,0.001281324,0.0012424275,0.067712519,0.06770194725,0.000136564,0.000132922,0.000993581,0.0009599685,3.2138e-05,3.1302e-05,0.000257537,0.000251157,0.067492669,0.0660384185,0.004110198,0.00166352875
tdma,4,128,128,2048,16384,512,512,1,10,host,128,128,0.001410858,0.00140236975,0.001029135,0.001020842,0.000291147,0.00028703825,9.7356e-05,9.418375e-05,0.000767462,0.00076548125,1.4351e-05,1.389825e-05,0.000247322,0.0002414625,0.000198308,0.00019635725,9.3611e-05,9.0681e-05
tdma,4,128,128,2048,16384,512,512,2,10,host,128,128,0.001404297,0.00139279475,0.001031968,0.001019064,0.000285669,0.0002792845,9.7778e-05,9.4167e-05,0.000771097,0.0007644295,1.4191e-05,1.3926e-05,0.00024668,0.0002407085,0.000196415,0.0001898275,9.1888e-05,8.9457e-05
tdma,4,128,128,2048,16384,512,512,3,10,host,128,128,0.001398138,0.00138747475,0.001028734,0.00101987825,0.000277556,0.00027360775,9.6485e-05,9.371775e-05,0.000768674,0.000765376,1.5253e-05,1.376575e-05,0.00024622,0.0002407365,0.000191307,0.0001886455,8.692e-05,8.496225e-05
tdma,4,128,128,2048,16384,512,512,4,10,host,128,128,0.001404949,0.00139692925,0.001031158,0.001022845,0.000282724,0.00027781225,9.8929e-05,9.59985e-05,0.000770687,0.000767412,1.4902e-05,1.378025e-05,0.0002464,0.00024165275,0.000188052,0.00018461225,9.7216e-05,9.32e-05
tdma,4,128,128,2048,16384,512,512,5,10,host,128,128,0.001401363,0.0013931555,0.001031076,0.00102352325,0.000279249,0.000275947,9.8006e-05,9.34065e-05,0.000770827,0.00076885875,1.4041e-05,1.351525e-05,0.00024679,0.00024114925,0.000190025,0.00018696825,8.9224e-05,8.897875e-05
tdma,4,128,128,2048,16384,512,512,6,10,host,128,128,0.001395234,0.00139231975,0.00102552,0.00101926775,0.00028683,0.00027277425,0.000121992,9.999775e-05,0.000768744,0.000765016,1.4151e-05,1.34575e-05,0.00024613,0.00024079425,0.000200941,0.000186412,8.8373e-05,8.636225e-05
tdma,4,128,128,2048,16384,512,512,7,10,host,128,128,0.001407392,0.00139862875,0.001027412,0.00101976575,0.000291188,0.00028473,9.6536e-05,9.385825e-05,0.000766961,0.00076474025,1.5334e-05,1.4059e-05,0.000245117,0.0002409665,0.000201022,0.00019375075,9.1948e-05,9.097925e-05
tdma,4,128,128,2048,16384,512,512,8,10,host,128,128,0.00139914,0.0013889945,0.001028974,0.00102122025,0.000277987,0.000273628,9.7737e-05,9.387375e-05,0.000769865,0.0007669865,1.4722e-05,1.38355e-05,0.000247531,0.00024039825,0.000190586,0.00018611675,8.9855e-05,8.751125e-05
tdma,4,128,128,2048,16384,512,512,9,10,host,128,128,0.001403396,0.0013929655,0.001025939,0.001017762,0.000282254,0.000281022,9.6444e-05,9.390075e-05,0.00076618,0.00076397175,1.4031e-05,1.3475e-05,0.000245728,0.00024031525,0.000188603,0.00018740625,9.5664e-05,9.361575e-05
tdma,4,128,128,4096,16384,1024,1024,0,10,host,128,128,0.072749387,0.07273238175,0.002312331,0.00230098275,0.070302976,0.07029599575,0.000134372,0.000133636,0.001776206,0.00176792075,3.1026e-05,2.965675e-05,0.00050625,0.00050340525,0.070051699,0.06953812325,0.00128584,0.0007578725
tdma,4,128,128,4096,16384,1024,1024,1,10,host,128,128,0.002456858,0.0024496415,0.002067313,0.002057958,0.000304407,0.00029432225,9.961e-05,9.7076e-05,0.001553602,0.0015481135,1.4752e-05,1.43735e-05,0.00049923,0.000495471,0.000211277,0.00020534325,9.313e-05,8.8979e-05
tdma,4,128,128,4096,16384,1024,1024,2,10,host,128,128,0.002432741,0.0024273455,0.002060671,0.00205483875,0.000282355,0.00027584675,9.8949e-05,9.63795e-05,0.001551187,0.0015485415,1.4642e-05,1.42415e-05,0.000495012,0.00049205575,0.00019962,0.000193678,8.4137e-05,8.216875e-05
tdma,4,128,128,4096,16384,1024,1024,3,10,host,128,128,0.002435585,0.0024315515,0.00205882,0.0020533315,0.00029291,0.00028095925,9.8508e-05,9.696825e-05,0.001548794,0.00154549425,1.4241e-05,1.39985e-05,0.000495785,0.00049383875,0.000205188,0.0001962845,8.9374e-05,8.467475e-05
tdma,4,128,128,4096,16384,1024,1024,4,10,host,128,128,0.002433562,0.002430878,0.002057869,0.00205468625,0.000287402,0.0002799025,9.7757e-05,9.600375e-05,0.001548704,0.00154553675,1.4432e-05,1.40715e-05,0.000495854,0.000495078,0.000193471,0.0001891615,9.4181e-05,9.0741e-05
tdma,4,128,128,4096,16384,1024,1024,5,10,host,128,128,0.002447022,0.0024361835,0.002059431,0.00205365125,0.000289765,0.0002860545,9.7787e-05,9.619725e-05,0.00155252,0.001546343,1.4201e-05,1.402575e-05,0.000496695,0.0004932825,0.000205128,0.00019634975,9.7837e-05,8.970475e-05
tdma,4,128,128,4096,16384,1024,1024,6,10,host,128,128,0.002436777,0.00242792125,0.002063617,0.00205624325,0.000279029,0.00027548875,9.7568e-05,9.5909e-05,0.001550426,0.0015476125,1.5002e-05,1.429375e-05,0.00049945,0.000494337,0.000196265,0.00019300225,8.4887e-05,8.24865e-05
tdma,4,128,128,4096,16384,1024,1024,7,10,host,128,128,0.002429807,0.002427313,0.002060872,0.00205825325,0.000275554,0.00027258175,9.8469e-05,9.6197e-05,0.001551118,0.00154997075,1.4531e-05,1.411325e-05,0.000497747,0.00049416925,0.000192358,0.000188886,8.6129e-05,8.369575e-05
tdma,4,128,128,4096,16384,1024,1024,8,10,host,128,128,0.002434614,0.00242916575,0.002060432,0.002057487,0.000282684,0.00027580625,9.6656e-05,9.5604e-05,0.001550778,0.00154877925,1.4652e-05,1.41835e-05,0.000496034,0.00049452425,0.000196895,0.0001926365,8.7251e-05,8.316975e-05
tdma,4,128,128,4096,16384,1024,1024,9,10,host,128,128,0.002428935,0.00242357975,0.002058899,0.00205646125,0.000272568,0.000270506,9.7576e-05,9.63365e-05,0.001551057,0.00154945275,1.4232e-05,1.384825e-05,0.000494452,0.00049316025,0.000190596,0.0001874915,8.7091e-05,8.30145e-05
